날짜,당기금액,전기금액,label,변동량,최종
20170515,"58,652,951,30935,533,218,382","15,930,790,04833,935,488,502",1,0,0
20170814,"22,735,177,18341,215,109,165","-212,397,797,862-143,143,859,061",1,0,0
20171114,"23,428,094,92723,393,690,972","128,605,753,776117,705,625,162",1,1,1
20180323,"-340,748,297,267-337,606,491,056","-138,776,906,437-134,734,538,838",1,0,0
20180515,"-59,504,191,303-79,103,073,479","58,652,951,30935,533,218,382",0,0,1
20180814,"-142,700,543,845-143,918,876,649","22,735,177,18341,215,109,165",0,1,0
20181114,"-80,245,942,357-83,014,433,997","23,428,094,92723,393,690,972",0,0,1
20190401,"-388,188,868,698-436,189,286,783","-340,748,297,267-337,606,491,056",1,1,1
20190515,"-102,630,033,552-117,960,621,754","-59,504,191,303-79,103,073,479",0,1,0
20190814,"-309,383,443,733-292,645,457,830","-142,700,543,845-143,918,876,649",1,0,0
20191114,"-583,206,527,771-591,800,677,354","-80,245,942,357-83,014,433,997",0,1,0
20200330,"-1,315,353,147,184-1,351,396,855,518","-388,188,868,698-436,189,286,783",0,1,0
20200515,"-227,021,072,058-199,768,348,729","-102,630,033,552-117,960,621,754",1,0,0
20200814,"-704,244,734,982-695,159,696,206","-309,383,443,733-292,645,457,830",1,1,1
20201116,"-7,351,036,702-105,126,979","-583,206,527,771-591,800,677,354",1,1,1
20210311,"-1,492,699,901,584-1,428,045,414,646","-1,315,353,147,184-1,351,396,855,518",1,1,1
20160516,"164,410,345321,371,517","-35,369,888997,949,108",1,0,0
20160816,"2,394,937,5541,817,844,862","-1,993,675,460-2,406,160,190",1,0,0
20161114,"-363,198,924420,428,088","50,883,258-342,951,539",0,0,1
20170331,"-18,598,232,774-17,556,296,183","1,476,677,9211,136,528,865",0,0,1
20170515,"1,297,131,075961,444,157","164,410,345321,371,517",0,0,1
20170814,"3,455,894,7303,323,177,684","2,394,937,5541,817,844,862",1,1,1
20171114,"2,933,799,703674,618,430","-363,198,924420,428,088",1,1,1
20180515,"890,964,468303,878,464","1,297,131,075961,444,157",1,0,0
20180814,"1,823,951,369415,711,543","3,455,894,7303,323,177,684",0,1,0
20181114,"827,295,826421,084,870","2,933,799,703674,618,430",1,1,1
20190515,"954,202,848340,466,162","890,964,468303,878,464",1,1,1
20190813,"2,459,837,111554,155,084","1,823,951,369415,711,543",1,1,1
20191114,"875,106,107875,349,735","827,295,826421,084,870",1,0,0
20200515,"1,730,934,204808,108,751","954,202,848340,466,162",0,0,1
20200814,"1,814,782,1282,179,434,701","2,459,837,111554,155,084",0,1,0
