"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 02월 22일","1,175,000","1,190,000","1,192,000","1,166,000","174.50K","-1.26%"
"2016년 02월 21일","1,190,000","1,190,000","1,190,000","1,190,000","0.04K","0.00%"
"2016년 02월 19일","1,190,000","1,187,000","1,195,000","1,174,000","176.00K","0.25%"
"2016년 02월 18일","1,187,000","1,203,000","1,203,000","1,178,000","212.32K","0.17%"
"2016년 02월 17일","1,185,000","1,179,000","1,201,000","1,169,000","246.02K","1.46%"
"2016년 02월 16일","1,168,000","1,158,000","1,179,000","1,157,000","179.96K","1.21%"
"2016년 02월 15일","1,154,000","1,154,000","1,160,000","1,144,000","182.64K","2.12%"
"2016년 02월 12일","1,130,000","1,130,000","1,151,000","1,122,000","254.58K","0.00%"
"2016년 02월 11일","1,130,000","1,118,000","1,137,000","1,118,000","305.00K","-2.92%"
"2016년 02월 10일","1,164,000","1,164,000","1,164,000","1,164,000","-","0.00%"
"2016년 02월 05일","1,164,000","1,156,000","1,169,000","1,156,000","183.85K","0.69%"
"2016년 02월 04일","1,156,000","1,150,000","1,161,000","1,148,000","236.55K","0.87%"
"2016년 02월 03일","1,146,000","1,150,000","1,152,000","1,137,000","174.42K","-0.87%"
"2016년 02월 02일","1,156,000","1,161,000","1,166,000","1,147,000","165.56K","-0.60%"
"2016년 02월 01일","1,163,000","1,152,000","1,163,000","1,151,000","258.39K","1.13%"
"2016년 01월 31일","1,150,000","1,150,000","1,150,000","1,150,000","0.02K","0.00%"
"2016년 01월 29일","1,150,000","1,140,000","1,150,000","1,116,000","426.91K","0.44%"
"2016년 01월 28일","1,145,000","1,164,000","1,168,000","1,139,000","315.23K","-2.55%"
"2016년 01월 27일","1,175,000","1,126,000","1,175,000","1,126,000","273.98K","3.34%"
"2016년 01월 26일","1,137,000","1,155,000","1,157,000","1,136,000","152.00K","-2.15%"
"2016년 01월 25일","1,162,000","1,172,000","1,176,000","1,156,000","159.81K","-0.51%"
"2016년 01월 24일","1,168,000","1,168,000","1,168,000","1,168,000","0.01K","0.00%"
"2016년 01월 22일","1,168,000","1,145,000","1,168,000","1,145,000","147.35K","3.27%"
"2016년 01월 21일","1,131,000","1,133,000","1,155,000","1,125,000","182.05K","-0.62%"
"2016년 01월 20일","1,138,000","1,160,000","1,160,000","1,132,000","165.95K","-2.82%"
"2016년 01월 19일","1,171,000","1,128,000","1,171,000","1,128,000","205.97K","4.00%"
"2016년 01월 18일","1,126,000","1,088,000","1,133,000","1,088,000","320.16K","-0.53%"
"2016년 01월 17일","1,132,000","1,132,000","1,132,000","1,132,000","0.00K","0.00%"
"2016년 01월 15일","1,132,000","1,140,000","1,152,000","1,124,000","208.77K","-0.53%"
"2016년 01월 14일","1,138,000","1,131,000","1,142,000","1,131,000","207.87K","-0.87%"
"2016년 01월 13일","1,148,000","1,153,000","1,159,000","1,148,000","143.13K","0.17%"
"2016년 01월 12일","1,146,000","1,148,000","1,166,000","1,144,000","185.02K","-0.52%"
"2016년 01월 11일","1,152,000","1,156,000","1,166,000","1,146,000","240.13K","-1.62%"
"2016년 01월 10일","1,171,000","1,171,000","1,171,000","1,171,000","-","0.00%"
"2016년 01월 08일","1,171,000","1,163,000","1,186,000","1,163,000","244.55K","0.69%"
"2016년 01월 07일","1,163,000","1,166,000","1,183,000","1,151,000","268.93K","-1.02%"
"2016년 01월 06일","1,175,000","1,208,000","1,208,000","1,168,000","360.33K","-2.73%"
"2016년 01월 05일","1,208,000","1,202,000","1,218,000","1,186,000","208.45K","0.25%"
"2016년 01월 04일","1,205,000","1,260,000","1,260,000","1,205,000","305.31K","-4.37%"
"2016년 01월 03일","1,260,000","1,260,000","1,260,000","1,260,000","-","0.00%"
"2015년 12월 30일","1,260,000","1,260,000","1,272,000","1,254,000","203.76K","0.48%"
