"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 02월 07일","167,500","167,000","170,500","166,000","521.10K","0.90%"
"2020년 02월 06일","166,000","165,500","168,000","163,500","550.74K","1.84%"
"2020년 02월 05일","163,000","166,500","167,000","161,500","438.84K","-0.91%"
"2020년 02월 04일","164,500","161,500","165,500","160,500","393.70K","3.13%"
"2020년 02월 03일","159,500","156,000","160,500","156,000","407.26K","0.31%"
"2020년 02월 02일","159,000","159,000","159,000","159,000","-","0.00%"
"2020년 01월 31일","159,000","162,500","164,000","158,500","343.91K","-1.85%"
"2020년 01월 30일","162,000","163,000","165,500","160,500","418.43K","-0.92%"
"2020년 01월 29일","163,500","165,500","166,000","162,500","254.50K","0.62%"
"2020년 01월 28일","162,500","160,000","163,500","159,500","512.40K","-1.81%"
"2020년 01월 27일","165,500","165,500","165,500","165,500","-","0.00%"
"2020년 01월 23일","165,500","168,000","168,000","164,500","322.64K","-0.30%"
"2020년 01월 22일","166,000","166,000","169,000","164,500","468.02K","0.61%"
"2020년 01월 21일","165,000","168,500","169,000","163,500","388.10K","-2.08%"
"2020년 01월 20일","168,500","169,000","170,000","167,000","379.73K","0.00%"
"2020년 01월 19일","168,500","168,500","168,500","168,500","-","0.00%"
"2020년 01월 17일","168,500","171,500","172,500","168,000","351.48K","-1.75%"
"2020년 01월 16일","171,500","170,000","172,000","170,000","259.00K","0.88%"
"2020년 01월 15일","170,000","167,000","170,500","166,500","461.24K","1.80%"
"2020년 01월 14일","167,000","167,500","168,500","165,500","422.83K","0.00%"
"2020년 01월 13일","167,000","165,500","167,500","165,000","474.61K","1.21%"
"2020년 01월 12일","165,000","165,000","165,000","165,000","-","0.00%"
"2020년 01월 10일","165,000","165,000","166,500","163,000","401.23K","0.61%"
"2020년 01월 09일","164,000","163,500","165,500","162,500","877.68K","2.82%"
"2020년 01월 08일","159,500","158,500","162,000","156,500","849.37K","-0.31%"
"2020년 01월 07일","160,000","155,000","160,000","154,500","839.00K","3.56%"
"2020년 01월 06일","154,500","150,500","155,000","150,000","393.46K","1.31%"
"2020년 01월 05일","152,500","152,500","152,500","152,500","-","0.00%"
"2020년 01월 03일","152,500","153,500","155,000","151,000","314.42K","0.00%"
"2020년 01월 02일","152,500","154,000","154,500","152,000","240.50K","-0.65%"
