접수번호,계정명,당기명,당기일자,당기금액,전기명,전기일자,전기금액
20170515004197,유동부채,제 50 기1분기말,2017.03.31 현재,"41,282,003,000,000",제 49 기말,2016.12.31 현재,"43,609,793,000,000"
20170515004197,비유동부채,제 50 기1분기말,2017.03.31 현재,"60,184,174,000,000",제 49 기말,2016.12.31 현재,"62,881,557,000,000"
20170515004197,부채총계,제 50 기1분기말,2017.03.31 현재,"101,466,177,000,000",제 49 기말,2016.12.31 현재,"106,491,350,000,000"
20170515004197,자본총계,제 50 기1분기말,2017.03.31 현재,"71,774,594,000,000",제 49 기말,2016.12.31 현재,"72,344,578,000,000"
20170515004197,매출액,제 50 기1분기,2017.01.01 ~ 2017.03.31,"23,365,959,000,000",제 49 기1분기,2016.01.01 ~ 2016.03.31,"22,350,624,000,000"
20170515004197,영업이익,제 50 기1분기,2017.01.01 ~ 2017.03.31,"1,250,761,000,000",제 49 기1분기,2016.01.01 ~ 2016.03.31,"1,342,391,000,000"
20170515004197,법인세차감전 순이익,제 50 기1분기,2017.01.01 ~ 2017.03.31,"1,757,053,000,000",제 49 기1분기,2016.01.01 ~ 2016.03.31,"2,163,431,000,000"
20170515004197,당기순이익,제 50 기1분기,2017.01.01 ~ 2017.03.31,"1,405,694,000,000",제 49 기1분기,2016.01.01 ~ 2016.03.31,"1,768,131,000,000"
20170515004197,유동자산,제 50 기1분기말,2017.03.31 현재,"23,980,715,000,000",제 49 기말,2016.12.31 현재,"24,175,403,000,000"
20170515004197,비유동자산,제 50 기1분기말,2017.03.31 현재,"45,728,560,000,000",제 49 기말,2016.12.31 현재,"45,675,514,000,000"
20170515004197,자산총계,제 50 기1분기말,2017.03.31 현재,"69,709,275,000,000",제 49 기말,2016.12.31 현재,"69,850,917,000,000"
20170515004197,유동부채,제 50 기1분기말,2017.03.31 현재,"10,851,839,000,000",제 49 기말,2016.12.31 현재,"11,209,671,000,000"
20170515004197,비유동부채,제 50 기1분기말,2017.03.31 현재,"6,104,260,000,000",제 49 기말,2016.12.31 현재,"6,061,535,000,000"
20170515004197,부채총계,제 50 기1분기말,2017.03.31 현재,"16,956,099,000,000",제 49 기말,2016.12.31 현재,"17,271,206,000,000"
20170515004197,이익잉여금,제 50 기1분기말,2017.03.31 현재,"48,561,967,000,000",제 49 기말,2016.12.31 현재,"48,405,444,000,000"
20170515004197,자본총계,제 50 기1분기말,2017.03.31 현재,"52,753,176,000,000",제 49 기말,2016.12.31 현재,"52,579,711,000,000"
20170515004197,매출액,제 50 기1분기,2017.01.01 ~ 2017.03.31,"10,317,549,000,000",제 49 기1분기,2016.01.01 ~ 2016.03.31,"10,146,581,000,000"
20170515004197,영업이익,제 50 기1분기,2017.01.01 ~ 2017.03.31,"758,908,000,000",제 49 기1분기,2016.01.01 ~ 2016.03.31,"1,031,394,000,000"
20170515004197,법인세차감전 순이익,제 50 기1분기,2017.01.01 ~ 2017.03.31,"1,207,696,000,000",제 49 기1분기,2016.01.01 ~ 2016.03.31,"2,337,104,000,000"
