corp_code,corp_name,stock_code,modify_date
00124018,부산방직공업,025270,20170630
00255071,현대에이치씨엔동작방송,034750,20170630
00364926,플렉스컴,065270,20170630
00350491,웹솔루스,160350,20170630
00450214,마이스코,088700,20170630
01022054,솔트웍스,222520,20170630
00164955,현대페인트,011720,20170630
00790501,한진해운,117930,20170630
00272412,글라소울,045050,20170630
00207542,팬택자산관리,025930,20170630
00394778,케이엔씨글로벌,068150,20170630
00446460,아이디에스,078780,20170630
00188946,훈영,017170,20170630
00137702,한솔아트원제지,007190,20170630
00418476,엠제이비,074150,20170630
00587101,바다로3호선박투자회사,092630,20170630
00351047,아이팩토리,053810,20170630
00778040,거북선5호선박투자회사,114130,20170630
00778059,거북선6호선박투자회사,114140,20170630
00126229,삼성물산,000830,20170630
00496003,피엘에이,082390,20170630
00359030,닉스테크,063840,20170630
00510914,아시아퍼시픽9호선박투자회사,081940,20170630
00697329,거북선4호선박투자회사,108890,20170630
00149664,중앙건설,015110,20170630
00318839,미래에셋새천년코리아벤처펀드일호,042950,20170630
00130897,하나은행,002860,20170630
00183260,에이스하이텍,071930,20170630
00246347,태창파로스,039850,20170630
00599230,평산차업집단유한공사,950010,20170630
00970277,스탠다드펌,179280,20170630
00122922,벽산건설,002530,20170630
00116860,NH농협증권,016420,20170630
00505569,아시아퍼시픽4호선박투자회사,081210,20170630
00160612,한화화인케미칼,025850,20170630
00659435,정다운,224090,20170630
00232317,지오엠씨,033030,20170630
00130860,에듀패스,031950,20170630
00113632,아이디에이치,026230,20170630
00837680,거북선7호선박투자회사,134000,20170630
00130815,서울상호저축은행,016560,20170630
00248123,와이즈파워,040670,20170630
00788807,코크렙제15호기업구조조정부동산투자회사,121550,20170630
00270432,티브로드한빛방송,043890,20170630
00648697,거북선3호선박투자회사,102000,20170630
00165529,동성하이켐,013450,20170630
00419989,클루넷,067130,20170630
00637114,코리아퍼시픽07호선박투자회사,099210,20170630
00361114,씨유전자,056340,20170630
00125628,삼목강업,158380,20170630
00265227,에스비엠,037630,20170630
00267669,솔빛미디어,044440,20170630
00693800,에프지엔개발전문자기관리부동산투자회사,119250,20170630
00991012,판타지오,187770,20170630
00164469,현대하이스코,010520,20170630
00586652,거북선1호선박투자회사,092970,20170630
00132105,삼양제넥스,003940,20170630
00345657,코아에스앤아이,052350,20170630
00810531,자원메디칼,181980,20170630
00127370,삼우이엠씨,026250,20170630
00261124,어울림정보기술,038320,20170630
00244729,티브로드도봉강북방송,035210,20170630
00138127,티이씨앤코,008900,20170630
00156521,화인자산관리,010460,20170630
00446831,세실,084450,20170630
00127024,삼양엔텍,008720,20170630
00120377,로케트전기,000420,20170630
00136970,신일건업,014350,20170630
00148328,제일모직,001300,20170630
00842479,퓨얼셀파워,139170,20170630
00907660,아루히,950100,20170630
00351269,지티앤티,053870,20170630
00350251,모아에스앤에스,052880,20170630
00206127,어울림엘시스,033280,20170630
00846396,이코리아자기관리부동산투자회사,138440,20170630
00144155,SK,003600,20170630
00678281,에이치앤아이,103650,20170630
00314888,디에스,051710,20170630
00653990,유니드코리아,110500,20170630
00451116,아이레보,072430,20170630
00159926,포스코티엠씨,010150,20170630
00648688,거북선2호선박투자회사,101380,20170630
00512550,아시아퍼시픽5호선박투자회사,082240,20170630
00512532,아시아퍼시픽7호선박투자회사,082260,20170630
00512541,아시아퍼시픽6호선박투자회사,082250,20170630
00907013,한국ANKOR유전,152550,20170630
01047929,에스케이제1호기업인수목적,207930,20171106
01064315,대우기업인수목적3호,215580,20171226
01047567,엔에이치에스엘기업인수목적,207720,20171016
01043871,케이티비기업인수목적1호,204650,20170707
01065536,미래에셋제3호기업인수목적,215750,20180104
00636045,넥솔론,110570,20170918
00632331,디피앤케이,189700,20171220
00974459,비앤에스미디어,156170,20170918
00461690,세화피앤씨,085980,20170919
01111057,에스지에이시스템즈,232290,20171222
00653112,미래자원엠엘,233190,20171228
00823687,웨이포트유한공사,900130,20170725
00318538,아스팩오일,232360,20170725
00855145,하이골드오션2호선박투자회사,139200,20171127
01046179,골든브릿지제2호기업인수목적,206660,20171020
00110495,대성합동지주,005620,20170825
00722500,중국원양자원유한공사,900050,20170927
01018167,캐로스,260490,20171129
00533678,아시아퍼시픽15호선박투자회사,083620,20170731
01047716,하나머스트3호기업인수목적,208870,20170731
00686147,신성에프에이,104120,20171207
00686068,신성이엔지,104110,20171208
00783246,글로벌에스엠,900070,20170703
00800084,씨케이에이치,900120,20170703
00163619,한진피앤씨,061460,20170929
00967778,나이코,192240,20170630
01038161,대우기업인수목적2호,204440,20170630
00267960,에스에스컴텍,036500,20170630
00529310,동북아10호선박투자회사,083350,20170630
01080410,골든브릿지제3호기업인수목적,219580,20180207
00413824,제이앤유글로벌,086200,20180508
01090301,케이비제8호기업인수목적,222390,20180313
00626710,베트남개발1,096300,20180313
01010572,패션플랫폼,256090,20180213
01075047,키움제3호기업인수목적,218710,20180214
00612115,유디피,091270,20180418
01089828,유진기업인수목적3호,221200,20180417
00799070,이스트아시아홀딩스,900110,20180212
01087079,한화에이스기업인수목적2호,219860,20180302
01072660,엔에이치기업인수목적7호,217810,20180119
01091391,교보5호기업인수목적,223040,20180330
01089961,케이비드림투게더제3호기업인수목적,221950,20180330
01089387,유안타제2호기업인수목적,219960,20180223
01111765,에스엠로보틱스,252940,20180425
01115257,시냅스엠,246830,20180514
00408336,인산가,062580,20180911
01109186,동부제4호기업인수목적,230490,20180726
01095892,태경피엔에스,235090,20180801
00130949,카카오엠,016170,20180918
00202778,썬코어,051170,20180820
01090921,케이엠제약,237720,20180928
01102800,키움제4호기업인수목적,226850,20180605
